"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Percentage of total","Goods and services for routine household maintenance","1.6",""
"2010","European Union - 27 countries (from 2020)","Current prices, million euro","Goods and services for routine household maintenance","98 624.4",""
"2010","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","98 624.4",""
"2010","European Union - 28 countries (2013-2020)","Percentage of total","Goods and services for routine household maintenance","1.5",""
"2010","European Union - 28 countries (2013-2020)","Current prices, million euro","Goods and services for routine household maintenance","107 461.7",""
"2010","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","107 461.7",""
"2010","European Union - 15 countries (1995-2004)","Percentage of total","Goods and services for routine household maintenance","1.5",""
"2010","European Union - 15 countries (1995-2004)","Current prices, million euro","Goods and services for routine household maintenance","98 831.9",""
"2010","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","98 831.9",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage of total","Goods and services for routine household maintenance","1.7",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Goods and services for routine household maintenance","88 922.4",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","88 922.4",""
"2010","Euro area - 19 countries  (from 2015)","Percentage of total","Goods and services for routine household maintenance","1.7",""
"2010","Euro area - 19 countries  (from 2015)","Current prices, million euro","Goods and services for routine household maintenance","89 356.5",""
"2010","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","89 356.5",""
"2010","Euro area - 12 countries (2001-2006)","Percentage of total","Goods and services for routine household maintenance","1.7",""
"2010","Euro area - 12 countries (2001-2006)","Current prices, million euro","Goods and services for routine household maintenance","87 437.9",""
"2010","Euro area - 12 countries (2001-2006)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","87 437.9",""
"2010","Belgium","Percentage of total","Goods and services for routine household maintenance","1.7",""
"2010","Belgium","Current prices, million euro","Goods and services for routine household maintenance","3 019.0",""
"2010","Belgium","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","3 019.0",""
"2010","Bulgaria","Percentage of total","Goods and services for routine household maintenance","0.5",""
"2010","Bulgaria","Current prices, million euro","Goods and services for routine household maintenance","122.8",""
"2010","Bulgaria","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","122.8",""
"2010","Czechia","Percentage of total","Goods and services for routine household maintenance","1.0",""
"2010","Czechia","Current prices, million euro","Goods and services for routine household maintenance","802.9",""
"2010","Czechia","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","802.9",""
"2010","Denmark","Percentage of total","Goods and services for routine household maintenance","0.8",""
"2010","Denmark","Current prices, million euro","Goods and services for routine household maintenance","845.7",""
"2010","Denmark","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","845.7",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage of total","Goods and services for routine household maintenance","1.3",""
"2010","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Goods and services for routine household maintenance","17 415.0",""
"2010","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","17 415.0",""
"2010","Estonia","Percentage of total","Goods and services for routine household maintenance","0.4",""
"2010","Estonia","Current prices, million euro","Goods and services for routine household maintenance","30.2",""
"2010","Estonia","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","30.2",""
"2010","Ireland","Percentage of total","Goods and services for routine household maintenance",":",""
"2010","Ireland","Current prices, million euro","Goods and services for routine household maintenance","1 261.8",""
"2010","Ireland","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance",":",""
"2010","Greece","Percentage of total","Goods and services for routine household maintenance","2.1",""
"2010","Greece","Current prices, million euro","Goods and services for routine household maintenance","3 336.3",""
"2010","Greece","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","3 336.3",""
"2010","Spain","Percentage of total","Goods and services for routine household maintenance","2.2",""
"2010","Spain","Current prices, million euro","Goods and services for routine household maintenance","14 221.0",""
"2010","Spain","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","14 221.0",""
"2010","France","Percentage of total","Goods and services for routine household maintenance","1.3",""
"2010","France","Current prices, million euro","Goods and services for routine household maintenance","13 714.0",""
"2010","France","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","13 714.0",""
"2010","Croatia","Percentage of total","Goods and services for routine household maintenance","1.2",""
"2010","Croatia","Current prices, million euro","Goods and services for routine household maintenance","378.8",""
"2010","Croatia","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","378.8",""
"2010","Italy","Percentage of total","Goods and services for routine household maintenance","2.5",""
"2010","Italy","Current prices, million euro","Goods and services for routine household maintenance","24 748.9",""
"2010","Italy","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","24 748.9",""
"2010","Cyprus","Percentage of total","Goods and services for routine household maintenance","2.7",""
"2010","Cyprus","Current prices, million euro","Goods and services for routine household maintenance","359.7",""
"2010","Cyprus","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","359.7",""
"2010","Latvia","Percentage of total","Goods and services for routine household maintenance","1.2",""
"2010","Latvia","Current prices, million euro","Goods and services for routine household maintenance","135.7",""
"2010","Latvia","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","135.7",""
"2010","Lithuania","Percentage of total","Goods and services for routine household maintenance","1.5","b"
"2010","Lithuania","Current prices, million euro","Goods and services for routine household maintenance","268.3","b"
"2010","Lithuania","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","268.3","b"
"2010","Luxembourg","Percentage of total","Goods and services for routine household maintenance","2.9",""
"2010","Luxembourg","Current prices, million euro","Goods and services for routine household maintenance","423.7",""
"2010","Luxembourg","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","423.7",""
"2010","Hungary","Percentage of total","Goods and services for routine household maintenance","1.0",""
"2010","Hungary","Current prices, million euro","Goods and services for routine household maintenance","519.2",""
"2010","Hungary","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","519.2",""
"2010","Malta","Percentage of total","Goods and services for routine household maintenance","1.8",""
"2010","Malta","Current prices, million euro","Goods and services for routine household maintenance","76.5",""
"2010","Malta","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","76.5",""
"2010","Netherlands","Percentage of total","Goods and services for routine household maintenance","1.3",""
"2010","Netherlands","Current prices, million euro","Goods and services for routine household maintenance","3 631.0",""
"2010","Netherlands","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","3 631.0",""
"2010","Austria","Percentage of total","Goods and services for routine household maintenance","1.6",""
"2010","Austria","Current prices, million euro","Goods and services for routine household maintenance","2 461.1",""
"2010","Austria","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","2 461.1",""
"2010","Poland","Percentage of total","Goods and services for routine household maintenance","1.4",""
"2010","Poland","Current prices, million euro","Goods and services for routine household maintenance","3 083.9",""
"2010","Poland","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","3 083.9",""
"2010","Portugal","Percentage of total","Goods and services for routine household maintenance","1.9",""
"2010","Portugal","Current prices, million euro","Goods and services for routine household maintenance","2 266.4",""
"2010","Portugal","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","2 266.4",""
"2010","Romania","Percentage of total","Goods and services for routine household maintenance","2.3",""
"2010","Romania","Current prices, million euro","Goods and services for routine household maintenance","1 803.4",""
"2010","Romania","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","1 803.4",""
"2010","Slovenia","Percentage of total","Goods and services for routine household maintenance","1.4",""
"2010","Slovenia","Current prices, million euro","Goods and services for routine household maintenance","305.7",""
"2010","Slovenia","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","305.7",""
"2010","Slovakia","Percentage of total","Goods and services for routine household maintenance","1.9",""
"2010","Slovakia","Current prices, million euro","Goods and services for routine household maintenance","742.7",""
"2010","Slovakia","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","821.0",""
"2010","Finland","Percentage of total","Goods and services for routine household maintenance","1.0",""
"2010","Finland","Current prices, million euro","Goods and services for routine household maintenance","940.0",""
"2010","Finland","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","940.0",""
"2010","Sweden","Percentage of total","Goods and services for routine household maintenance","1.0",""
"2010","Sweden","Current prices, million euro","Goods and services for routine household maintenance","1 711.1",""
"2010","Sweden","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","1 711.1",""
"2010","United Kingdom","Percentage of total","Goods and services for routine household maintenance","0.8",""
"2010","United Kingdom","Current prices, million euro","Goods and services for routine household maintenance","8 837.3",""
"2010","United Kingdom","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","8 837.3",""
"2010","Iceland","Percentage of total","Goods and services for routine household maintenance","2.4",""
"2010","Iceland","Current prices, million euro","Goods and services for routine household maintenance","123.5",""
"2010","Iceland","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","123.5",""
"2010","Norway","Percentage of total","Goods and services for routine household maintenance","0.8",""
"2010","Norway","Current prices, million euro","Goods and services for routine household maintenance","1 035.6",""
"2010","Norway","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","1 035.6",""
"2010","Switzerland","Percentage of total","Goods and services for routine household maintenance",":",""
"2010","Switzerland","Current prices, million euro","Goods and services for routine household maintenance",":","c"
"2010","Switzerland","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance",":",""
"2010","Montenegro","Percentage of total","Goods and services for routine household maintenance",":",""
"2010","Montenegro","Current prices, million euro","Goods and services for routine household maintenance",":","c"
"2010","Montenegro","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance",":",""
"2010","North Macedonia","Percentage of total","Goods and services for routine household maintenance","1.5",""
"2010","North Macedonia","Current prices, million euro","Goods and services for routine household maintenance","79.3",""
"2010","North Macedonia","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance",":",""
"2010","Albania","Percentage of total","Goods and services for routine household maintenance",":",""
"2010","Albania","Current prices, million euro","Goods and services for routine household maintenance",":",""
"2010","Albania","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance",":",""
"2010","Serbia","Percentage of total","Goods and services for routine household maintenance","1.4","e"
"2010","Serbia","Current prices, million euro","Goods and services for routine household maintenance","338.7","e"
"2010","Serbia","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","338.7","e"
"2010","Turkey","Percentage of total","Goods and services for routine household maintenance",":","c"
"2010","Turkey","Current prices, million euro","Goods and services for routine household maintenance",":","c"
"2010","Turkey","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance",":",""
"2010","Bosnia and Herzegovina","Percentage of total","Goods and services for routine household maintenance",":",""
"2010","Bosnia and Herzegovina","Current prices, million euro","Goods and services for routine household maintenance",":",""
"2010","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance",":",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Percentage of total","Goods and services for routine household maintenance",":",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Goods and services for routine household maintenance","84.4",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance",":",""
"2011","European Union - 27 countries (from 2020)","Percentage of total","Goods and services for routine household maintenance","1.6",""
"2011","European Union - 27 countries (from 2020)","Current prices, million euro","Goods and services for routine household maintenance","100 073.6",""
"2011","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","98 836.0",""
"2011","European Union - 28 countries (2013-2020)","Percentage of total","Goods and services for routine household maintenance","1.5",""
"2011","European Union - 28 countries (2013-2020)","Current prices, million euro","Goods and services for routine household maintenance","108 171.5",""
"2011","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","106 706.9",""
"2011","European Union - 15 countries (1995-2004)","Percentage of total","Goods and services for routine household maintenance","1.5",""
"2011","European Union - 15 countries (1995-2004)","Current prices, million euro","Goods and services for routine household maintenance","99 234.5",""
"2011","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","97 919.6",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage of total","Goods and services for routine household maintenance","1.7",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Goods and services for routine household maintenance","89 872.1",""
"2011","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","88 934.5",""
"2011","Euro area - 19 countries  (from 2015)","Percentage of total","Goods and services for routine household maintenance","1.7",""
"2011","Euro area - 19 countries  (from 2015)","Current prices, million euro","Goods and services for routine household maintenance","90 335.4",""
"2011","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Goods and services for routine household maintenance","89 391.8",""
"2011","Euro area - 12 countries (2001-2006)","Percentage of total","Goods and services for routine household maintenance","1.7",""
