"WIJKBUURTC","BUURTCODE","BUURTNAAM","WIJKCODE","OCE_ID","OPPERVLAKT","OMTREK"
"42108","108","Bosweide","42","105",736672.013302008,3506.11019326841
"42109","109","Tedingerbroek","42","105",495276.737414986,2896.85161052783
"41110","110","De Reef","41","105",620926.078147016,3397.59809918029
"40104","104","Lage Veld","40","105",461201.355400498,3052.1616289729
"40105","105","Zonne Veld","40","105",499679.713329005,3298.68923780463
"41106","106","Vlietzoom-West","41","105",1921883.50688749,8802.6709808861
"41107","107","Vliegeniersbuurt","41","105",1181211.5411875,6491.39972497271
"15091","91","Kijkduin","15","105",1447217.29134401,5879.74323307524
"14092","92","Bohemen en Meer en Bos","14","105",805149.861383,3996.36970735483
"34088","88","Morgenstond-West","34","105",608082.339351507,3676.52699067339
"34089","89","Morgenstond-Oost","34","105",600236.368251498,3593.03721631059
"15090","90","Ockenburgh","15","105",3462067.130526,7983.39409799251
"18093","93","Componistenbuurt","18","105",146683.352631505,1849.37120251325
"18094","94","Waldeck-Noord","18","105",336069.231815992,2608.4101459762
"17095","95","Kom Loosduinen","17","105",466894.933161501,3730.30354063521
"4079","79","Van Hoytemastraat e.o.","4","105",258752.178036996,2168.08489349622
"34080","80","Morgenstond-Zuid","34","105",485521.923445992,3031.25674057948
"14081","81","Bosjes van Pex","14","105",463566.817264499,3142.5343969899
"18082","82","Rosenburg","18","105",516877.313037997,3326.06309338033
"19083","83","Eykenduinen","19","105",501321.365660996,3220.72941853529
"32084","84","Leyenburg","32","105",1353530.213744,5999.13340095229
"4048","48","Nassaubuurt","4","105",287009.435492998,2172.60090458935
"24049","49","Haagse Bos","24","105",1277111.93394951,6098.92145324859
"12050","50","Bloemenbuurt-West","12","105",282151.1897315,2945.99553121742
"12051","51","Bloemenbuurt-Oost","12","105",611403.049706998,3533.66918252622
"12052","52","Bomenbuurt","12","105",530968.416521996,3257.4465720032
"19053","53","Vruchtenbuurt","19","105",535093.375323007,3449.32218849526
"20054","54","Heesterbuurt","20","105",410936.951073999,3204.66670520638
"20055","55","Valkenboskwartier","20","105",658992.125116506,3405.77525578316
"39060","60","Binckhorst","39","105",1455619.749033,5332.20944262745
"44121","121","Rietbuurt","44","105",1015396.89142348,4965.69531054106
"38019","19","Laakhaven-Oost","38","105",337671.062986002,2741.95855394497
"36020","20","Moerwijk-Oost","36","105",385900.036625501,2988.96276213949
"37021","21","Groente- en Fruitmarkt","37","105",495611.624631001,3484.85830382085
